L,MLT,er,etheta,ephi,#ofValues
8.5,2.5,,,,0.0
8.5,3.5,,,,0.0
8.5,4.5,,,,0.0
8.5,5.5,,,,0.0
8.5,6.5,,,,0.0
8.5,7.5,,,,0.0
8.5,8.5,,,,0.0
8.5,9.5,,,,0.0
8.5,10.5,,,,0.0
8.5,11.5,,,,0.0
8.5,12.5,,,,0.0
8.5,13.5,,,,0.0
8.5,14.5,0.5791887436279614,-0.0029609077404574,1.9003909410998687,73.0
8.5,15.5,,,,0.0
8.5,16.5,,,,0.0
8.5,17.5,,,,0.0
8.5,18.5,0.7956185756163742,-0.6494274788421556,2.2152984461118694,514.0
8.5,19.5,0.8786097314619633,-0.9527016560126074,2.485542052628936,231.0
8.5,20.5,,,,0.0
8.5,21.5,,,,0.0
8.5,22.5,,,,0.0
8.5,23.5,,,,0.0
9.5,0.5,,,,0.0
9.5,1.5,,,,0.0
9.5,2.5,,,,0.0
9.5,3.5,,,,0.0
9.5,4.5,,,,0.0
9.5,5.5,,,,0.0
9.5,6.5,,,,0.0
9.5,7.5,,,,0.0
9.5,8.5,,,,0.0
9.5,9.5,,,,0.0
9.5,10.5,,,,0.0
9.5,11.5,,,,0.0
9.5,12.5,,,,0.0
9.5,13.5,,,,0.0
9.5,14.5,,,,0.0
9.5,15.5,,,,0.0
9.5,16.5,,,,0.0
9.5,17.5,,,,0.0
9.5,18.5,0.6160861995191989,-0.7922153047474617,2.314830791930864,223.0
9.5,19.5,,,,0.0
9.5,20.5,,,,0.0
9.5,21.5,,,,0.0
9.5,22.5,,,,0.0
9.5,23.5,,,,0.0
10.5,0.5,,,,0.0
10.5,1.5,,,,0.0
10.5,2.5,,,,0.0
10.5,3.5,,,,0.0
10.5,4.5,,,,0.0
10.5,5.5,,,,0.0
10.5,6.5,,,,0.0
10.5,7.5,,,,0.0
10.5,8.5,,,,0.0
10.5,9.5,,,,0.0
10.5,10.5,,,,0.0
10.5,11.5,,,,0.0
10.5,12.5,,,,0.0
10.5,13.5,,,,0.0
10.5,14.5,,,,0.0
10.5,15.5,,,,0.0
10.5,16.5,,,,0.0
10.5,17.5,0.5824766467514545,1.3408870438616085,2.3208624200536776,12.0
10.5,18.5,0.4940546437785773,-0.6700695372581303,2.1859099983372188,113.0
10.5,19.5,,,,0.0
10.5,20.5,,,,0.0
10.5,21.5,,,,0.0
10.5,22.5,,,,0.0
10.5,23.5,,,,0.0
11.5,0.5,,,,0.0
11.5,1.5,,,,0.0
11.5,2.5,,,,0.0
11.5,3.5,,,,0.0
11.5,4.5,,,,0.0
11.5,5.5,,,,0.0
11.5,6.5,,,,0.0
11.5,7.5,,,,0.0
11.5,8.5,,,,0.0
11.5,9.5,,,,0.0
11.5,10.5,,,,0.0
11.5,11.5,,,,0.0
11.5,12.5,,,,0.0
11.5,13.5,,,,0.0
11.5,14.5,,,,0.0
11.5,15.5,,,,0.0
11.5,16.5,,,,0.0
11.5,17.5,0.6487750019121045,0.9076445812139807,2.328480539741413,14.0
11.5,18.5,,,,0.0
11.5,19.5,,,,0.0
11.5,20.5,,,,0.0
11.5,21.5,,,,0.0
11.5,22.5,,,,0.0
11.5,23.5,,,,0.0
12.5,0.5,,,,0.0
12.5,1.5,,,,0.0
12.5,2.5,,,,0.0
12.5,3.5,,,,0.0
12.5,4.5,,,,0.0
12.5,5.5,,,,0.0
12.5,6.5,,,,0.0
12.5,7.5,,,,0.0
12.5,8.5,,,,0.0
12.5,9.5,,,,0.0
12.5,10.5,,,,0.0
12.5,11.5,,,,0.0
12.5,12.5,,,,0.0
12.5,13.5,,,,0.0
