L,MLT,er,erstd,eaz,eazstd
9.5,8.5,-0.036,1.445,0.109,0.451
9.5,9.5,0.909,2.956,0.443,0.949
9.5,10.5,0.203,4.790,0.437,0.710
9.5,11.5,0.984,1.610,0.154,1.255
9.5,12.5,1.828,2.246,0.518,0.768
9.5,13.5,0.454,2.088,0.364,0.466
9.5,14.5,1.142,1.397,0.220,0.458
9.5,15.5,0.746,1.925,0.248,0.594
9.5,16.5,0.843,1.318,0.068,0.680
9.5,17.5,0.684,0.538,0.180,0.432
9.5,18.5,0.516,0.233,-0.073,0.317
9.5,19.5,0.305,0.223,-0.038,0.540
9.5,20.5,0.452,0.336,-0.011,0.726
9.5,21.5,0.404,0.269,-0.494,0.897
9.5,22.5,0.058,0.146,-0.383,0.610
9.5,23.5,0.006,0.212,-0.350,0.631
